donor,region,roi,n_cells_total,area_mm2,density_cd4_t,density_cd8_t,density_b_cell,density_macrophage,density_mdsc,density_other_immune,density_fibroblast,density_endothelial,has_septa,nn_cd4_t_to_cd4_t,nn_cd4_t_to_cd8_t,nn_cd4_t_to_b_cell,nn_cd4_t_to_macrophage,nn_cd4_t_to_other_immune,nn_cd8_t_to_cd4_t,nn_cd8_t_to_cd8_t,nn_cd8_t_to_b_cell,nn_cd8_t_to_macrophage,nn_cd8_t_to_other_immune,nn_b_cell_to_cd4_t,nn_b_cell_to_cd8_t,nn_b_cell_to_b_cell,nn_b_cell_to_macrophage,nn_b_cell_to_other_immune,nn_macrophage_to_cd4_t,nn_macrophage_to_cd8_t,nn_macrophage_to_b_cell,nn_macrophage_to_macrophage,nn_macrophage_to_other_immune,nn_other_immune_to_cd4_t,nn_other_immune_to_cd8_t,nn_other_immune_to_b_cell,nn_other_immune_to_macrophage,nn_other_immune_to_other_immune,nn_cd4_t_to_mdsc,nn_cd8_t_to_mdsc,nn_b_cell_to_mdsc,nn_macrophage_to_mdsc,nn_mdsc_to_cd4_t,nn_mdsc_to_cd8_t,nn_mdsc_to_b_cell,nn_mdsc_to_macrophage,nn_mdsc_to_mdsc,nn_mdsc_to_other_immune,nn_other_immune_to_mdsc,nn_cd4_t_to_fibroblast,nn_cd8_t_to_fibroblast,nn_b_cell_to_fibroblast,nn_macrophage_to_fibroblast,nn_other_immune_to_fibroblast,nn_fibroblast_to_cd4_t,nn_fibroblast_to_cd8_t,nn_fibroblast_to_b_cell,nn_fibroblast_to_macrophage,nn_fibroblast_to_other_immune,nn_fibroblast_to_fibroblast,septa_p25_cd4_t,septa_p50_cd4_t,septa_p75_cd4_t,septa_p25_cd8_t,septa_p50_cd8_t,septa_p75_cd8_t,septa_p25_b_cell,septa_p50_b_cell,septa_p75_b_cell,septa_p25_macrophage,septa_p50_macrophage,septa_p75_macrophage,septa_p25_other_immune,septa_p50_other_immune,septa_p75_other_immune,septa_p25_mdsc,septa_p50_mdsc,septa_p75_mdsc,septa_p25_endothelial,septa_p50_endothelial,septa_p75_endothelial,nn_cd4_t_to_endothelial,nn_cd8_t_to_endothelial,nn_b_cell_to_endothelial,nn_macrophage_to_endothelial,nn_other_immune_to_endothelial,nn_endothelial_to_cd4_t,nn_endothelial_to_cd8_t,nn_endothelial_to_b_cell,nn_endothelial_to_macrophage,nn_endothelial_to_other_immune,nn_endothelial_to_endothelial,nn_mdsc_to_endothelial,nn_endothelial_to_mdsc,septa_p25_fibroblast,septa_p50_fibroblast,septa_p75_fibroblast,nn_mdsc_to_fibroblast,nn_fibroblast_to_mdsc,nn_fibroblast_to_endothelial,nn_endothelial_to_fibroblast
HPAP-006,Head of pancreas,ROI1,2413,0.9926,41.31,56.42,87.65,96.71,16.12,1193.82,270.0,175.3,True,55.9,49.8,33.0,49.7,12.4,50.6,41.1,47.2,44.4,15.5,40.0,51.8,22.1,42.9,15.7,82.9,66.8,79.9,42.9,15.6,70.6,77.4,72.9,50.0,13.2,108.3,119.1,150.6,195.7,32.4,39.8,68.4,55.3,19.7,16.0,158.7,50.1,65.1,78.3,41.2,40.7,276.9,124.2,171.3,49.7,16.7,14.6,174.9,269.5,313.1,159.6,280.0,335.9,169.5,273.4,325.7,145.4,238.1,330.0,133.8,216.6,315.1,99.4,151.9,225.6,165.2,208.6,254.4,118.3,106.1,35.3,117.7,109.4,99.1,98.0,33.5,50.4,28.7,11.9,112.4,143.3,42.2,102.1,254.4,36.0,355.8,161.9,82.6
HPAP-006,Head of pancreas,ROI2,2160,0.9934,10.07,31.21,255.69,102.68,2.01,778.15,0.0,0.0,True,131.0,74.1,52.8,57.9,19.7,144.2,93.5,57.1,39.6,17.9,162.4,87.3,13.2,47.6,28.6,146.5,80.0,61.2,32.1,17.8,159.4,87.5,87.5,52.9,14.4,358.9,327.1,197.5,294.5,149.7,25.8,60.1,37.4,229.6,21.0,351.3,,,,,,,,,,,,6.3,37.4,122.3,40.1,95.6,180.0,43.9,122.9,206.3,42.1,141.0,214.0,92.7,179.1,346.1,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-006,Head of pancreas,ROI3,2090,1.0918,19.24,27.48,172.2,90.68,9.16,850.92,0.0,0.0,True,82.5,66.9,60.1,70.6,15.8,108.2,60.7,85.0,47.9,22.3,124.9,63.5,13.8,80.7,22.9,124.2,127.1,76.1,40.0,16.9,123.5,125.0,62.9,52.5,14.8,136.1,214.4,97.2,221.7,91.2,77.0,38.4,103.6,119.6,15.4,154.5,,,,,,,,,,,,118.2,232.4,420.7,29.6,208.9,342.8,142.6,266.7,323.0,64.1,203.0,317.6,115.3,215.4,364.7,178.5,275.7,396.4,,,,,,,,,,,,,,,,,,,,,,,
HPAP-006,Tail of pancreas,ROI1,625,0.987,2.03,8.11,36.47,11.15,0.0,198.58,0.0,0.0,True,406.7,201.1,138.5,181.7,29.6,291.4,64.1,79.3,106.5,29.0,326.5,484.1,18.4,114.5,30.9,288.9,119.8,80.0,122.3,30.4,315.9,227.5,129.6,135.6,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,317.6,407.6,620.1,116.1,169.0,327.5,233.8,357.2,570.8,148.3,283.9,637.7,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-006,Tail of pancreas,ROI2,910,0.9825,0.0,14.25,8.14,14.25,2.04,418.33,0.0,0.0,False,,,,,,,83.6,110.3,144.6,19.0,,82.8,209.8,133.0,19.1,,268.5,168.7,113.8,22.7,,104.6,176.7,120.6,15.6,,244.9,401.9,295.5,,172.5,259.4,149.0,488.4,20.3,306.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-006,Tail of pancreas,ROI3,560,0.9702,0.0,5.15,1.03,26.8,0.0,397.85,0.0,0.0,True,,,,,,,356.0,,171.2,13.9,,,,,,,223.5,,106.9,18.8,,194.7,,82.8,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,206.6,244.3,245.2,,,,166.8,248.6,287.1,133.3,205.1,282.1,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-011,Body of pancreas,ROI1,453,0.9752,0.0,5.13,183.56,6.15,0.0,24.61,0.0,105.62,True,,,,,,,203.8,28.2,170.3,72.4,,158.6,20.0,196.2,62.8,,59.4,20.6,94.0,58.4,,352.9,26.6,210.5,63.7,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,161.7,535.6,146.0,337.1,557.3,558.5,618.1,724.1,249.8,567.7,666.7,,,,238.1,435.2,657.6,,58.9,40.1,34.2,31.7,,223.5,36.1,250.8,69.4,34.4,,,,,,,,,
HPAP-011,Body of pancreas,ROI2,346,0.8828,0.0,0.0,28.32,7.93,0.0,63.43,0.0,131.39,True,,,,,,,,,,,,,75.8,158.3,45.4,,,65.8,158.9,63.1,,,78.5,169.9,62.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.6,246.3,367.1,145.7,180.4,216.8,138.3,244.6,420.6,,,,172.9,252.2,398.4,,,30.9,46.0,39.1,,,78.5,185.4,59.2,36.6,,,,,,,,,
HPAP-011,Body of pancreas,ROI3,361,0.9194,0.0,0.0,196.86,9.79,0.0,29.37,0.0,0.0,True,,,,,,,,,,,,,14.4,115.6,45.6,,,18.7,94.7,58.6,,,20.4,113.7,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.4,170.4,267.4,5.4,7.1,297.0,70.3,211.9,315.2,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-011,Head of pancreas,ROI1,785,0.9856,0.0,82.18,0.0,227.26,0.0,0.0,102.47,0.0,True,,,,,,,27.2,,17.5,,,,,,,,35.1,,20.1,,,,,,,,,,,,,,,,,,,34.9,,34.0,,,46.4,,23.5,,35.9,,,,127.5,256.6,372.9,,,,112.4,214.4,395.3,,,,,,,,,,,,,,,,,,,,,,,107.3,250.4,395.7,,,,
