donor,region,roi,has_septa,septa_p25_cd4_t,septa_p50_cd4_t,septa_p75_cd4_t,septa_p25_cd8_t,septa_p50_cd8_t,septa_p75_cd8_t,septa_p25_b_cell,septa_p50_b_cell,septa_p75_b_cell,septa_p25_macrophage,septa_p50_macrophage,septa_p75_macrophage,septa_p25_other_immune,septa_p50_other_immune,septa_p75_other_immune,septa_p25_mdsc,septa_p50_mdsc,septa_p75_mdsc,septa_p25_endothelial,septa_p50_endothelial,septa_p75_endothelial,septa_p25_fibroblast,septa_p50_fibroblast,septa_p75_fibroblast
HPAP-035,Head of pancreas,ROI1,True,92.5,271.4,420.4,90.4,203.5,382.6,50.7,131.0,271.1,100.7,209.5,304.1,61.3,134.2,263.1,57.7,169.0,312.7,,,,,,
HPAP-035,Head of pancreas,ROI2,True,219.6,366.5,522.5,152.9,289.4,436.4,185.7,341.7,464.7,128.0,330.7,527.1,183.5,327.7,463.3,171.8,326.1,460.2,147.3,301.2,489.4,,,
HPAP-035,Head of pancreas,ROI3,True,78.2,142.4,298.9,26.5,106.0,260.9,83.8,170.2,268.7,33.1,171.2,255.3,59.5,146.5,256.1,108.5,208.7,287.6,48.0,120.3,236.3,15.1,77.9,199.7
HPAP-035,Tail of pancreas,ROI1,True,7.1,20.9,40.1,6.9,12.9,30.9,7.1,7.3,8.2,6.7,12.0,47.0,7.6,19.8,57.4,,,,,,,9.0,19.1,70.0
HPAP-035,Tail of pancreas,ROI2,True,6.8,14.6,28.4,5.6,13.4,18.9,,,,7.1,14.3,22.6,10.4,21.9,35.6,,,,5.8,15.4,38.2,,,
HPAP-035,Tail of pancreas,ROI3,True,7.6,27.7,74.5,7.1,25.7,41.7,,,,9.2,22.8,58.0,7.8,24.0,52.8,,,,11.6,26.4,66.3,4.2,7.9,16.7
HPAP-036,Body of pancreas,ROI1,True,37.4,96.0,214.6,69.6,145.4,305.0,38.3,122.0,243.3,26.0,127.5,266.4,48.3,135.1,250.7,15.7,42.1,152.6,,,,175.7,260.3,396.8
HPAP-036,Body of pancreas,ROI2,True,162.9,271.8,409.6,155.3,337.5,572.5,235.4,404.3,542.9,133.8,249.5,435.7,184.6,331.2,492.6,152.4,291.6,464.6,,,,9.1,11.4,16.5
HPAP-036,Body of pancreas,ROI3,True,6.5,60.4,296.3,24.8,63.7,211.6,29.0,91.0,160.7,10.6,50.2,98.4,38.7,90.9,189.1,29.8,58.1,102.3,50.9,142.1,333.6,,,
HPAP-036,Head of pancreas,ROI1,True,5.1,36.8,94.7,41.1,125.1,170.8,14.2,45.2,85.4,10.4,37.6,122.1,16.4,62.6,116.8,12.3,49.7,98.2,7.8,40.3,136.2,8.9,38.0,99.3
HPAP-036,Head of pancreas,ROI2,True,8.6,32.3,75.1,19.6,70.7,142.9,44.7,61.3,77.3,13.2,56.7,156.1,31.4,75.4,144.4,41.0,78.8,150.7,,,,28.5,75.1,132.9
HPAP-036,Head of pancreas,ROI3,True,21.6,59.8,109.3,9.9,34.8,54.5,49.8,115.1,224.9,21.2,71.0,150.9,40.7,104.6,213.2,138.8,222.3,256.2,41.6,101.4,220.5,,,
HPAP-036,Tail of pancreas,ROI1,True,9.1,63.6,110.9,25.5,71.3,150.9,38.8,96.8,172.9,15.7,70.3,131.0,43.3,105.8,167.9,45.1,133.5,162.1,,,,28.7,91.9,162.3
HPAP-036,Tail of pancreas,ROI2,True,29.9,83.2,203.9,22.1,104.3,202.3,62.4,111.4,195.4,60.7,125.3,229.8,45.8,119.9,206.3,41.2,104.0,365.1,38.0,102.5,181.2,,,
HPAP-036,Tail of pancreas,ROI3,True,17.1,74.2,196.6,22.7,62.8,149.3,111.6,248.7,384.6,15.6,57.2,158.8,35.4,86.5,235.9,14.2,49.4,80.7,30.4,115.0,290.8,,,
HPAP-037,Body of pancreas,ROI1,True,,,,287.1,545.3,838.0,,,,522.2,635.2,778.9,386.1,618.2,783.6,291.7,604.6,753.6,300.6,666.3,801.5,,,
