donor,region,roi,nn_cd4_t_to_cd4_t,nn_cd4_t_to_cd8_t,nn_cd4_t_to_b_cell,nn_cd4_t_to_macrophage,nn_cd4_t_to_other_immune,nn_cd8_t_to_cd4_t,nn_cd8_t_to_cd8_t,nn_cd8_t_to_b_cell,nn_cd8_t_to_macrophage,nn_cd8_t_to_other_immune,nn_b_cell_to_cd4_t,nn_b_cell_to_cd8_t,nn_b_cell_to_b_cell,nn_b_cell_to_macrophage,nn_b_cell_to_other_immune,nn_macrophage_to_cd4_t,nn_macrophage_to_cd8_t,nn_macrophage_to_b_cell,nn_macrophage_to_macrophage,nn_macrophage_to_other_immune,nn_other_immune_to_cd4_t,nn_other_immune_to_cd8_t,nn_other_immune_to_b_cell,nn_other_immune_to_macrophage,nn_other_immune_to_other_immune,nn_cd4_t_to_mdsc,nn_cd8_t_to_mdsc,nn_b_cell_to_mdsc,nn_macrophage_to_mdsc,nn_mdsc_to_cd4_t,nn_mdsc_to_cd8_t,nn_mdsc_to_b_cell,nn_mdsc_to_macrophage,nn_mdsc_to_mdsc,nn_mdsc_to_other_immune,nn_other_immune_to_mdsc,nn_cd4_t_to_fibroblast,nn_cd8_t_to_fibroblast,nn_b_cell_to_fibroblast,nn_macrophage_to_fibroblast,nn_other_immune_to_fibroblast,nn_fibroblast_to_cd4_t,nn_fibroblast_to_cd8_t,nn_fibroblast_to_b_cell,nn_fibroblast_to_macrophage,nn_fibroblast_to_other_immune,nn_fibroblast_to_fibroblast,nn_cd4_t_to_endothelial,nn_cd8_t_to_endothelial,nn_b_cell_to_endothelial,nn_macrophage_to_endothelial,nn_other_immune_to_endothelial,nn_endothelial_to_cd4_t,nn_endothelial_to_cd8_t,nn_endothelial_to_b_cell,nn_endothelial_to_macrophage,nn_endothelial_to_other_immune,nn_endothelial_to_endothelial,nn_mdsc_to_endothelial,nn_endothelial_to_mdsc,nn_mdsc_to_fibroblast,nn_fibroblast_to_mdsc,nn_fibroblast_to_endothelial,nn_endothelial_to_fibroblast
HPAP-011,Body of pancreas,ROI1,,,,,,,203.8,28.2,170.3,72.4,,158.6,20.0,196.2,62.8,,59.4,20.6,94.0,58.4,,352.9,26.6,210.5,63.7,,,,,,,,,,,,,,,,,,,,,,,,58.9,40.1,34.2,31.7,,223.5,36.1,250.8,69.4,34.4,,,,,,
HPAP-011,Body of pancreas,ROI2,,,,,,,,,,,,,75.8,158.3,45.4,,,65.8,158.9,63.1,,,78.5,169.9,62.8,,,,,,,,,,,,,,,,,,,,,,,,,30.9,46.0,39.1,,,78.5,185.4,59.2,36.6,,,,,,
HPAP-011,Body of pancreas,ROI3,,,,,,,,,,,,,14.4,115.6,45.6,,,18.7,94.7,58.6,,,20.4,113.7,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-011,Head of pancreas,ROI1,,,,,,,27.2,,17.5,,,,,,,,35.1,,20.1,,,,,,,,,,,,,,,,,,,34.9,,34.0,,,46.4,,23.5,,35.9,,,,,,,,,,,,,,,,,
HPAP-011,Head of pancreas,ROI2,,,,,,,153.0,254.4,31.5,,,102.5,329.2,46.6,,,110.0,317.8,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.1,83.4,59.7,,,99.1,272.1,27.8,,42.9,,,,,,
HPAP-011,Head of pancreas,ROI3,,,,,,,29.9,54.0,34.7,,,33.8,52.2,27.5,,,36.7,56.3,26.1,,,,,,,,,,,,,,,,,,,71.7,71.6,67.8,,,30.4,49.7,26.6,,78.4,,,,,,,,,,,,,,,,,
HPAP-011,Tail of pancreas,ROI1,,,,,,,,,,,,,21.0,73.8,42.7,,,39.9,36.5,55.0,,,22.3,70.6,38.0,,,289.7,364.2,,,16.7,94.1,108.0,33.3,299.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-011,Tail of pancreas,ROI2,,,,,,,34.4,19.2,29.9,49.1,,126.6,27.5,40.5,36.1,,166.5,30.7,30.3,41.8,,192.3,31.8,37.8,41.8,,288.7,273.7,336.3,,284.0,67.8,115.5,1023.0,75.1,315.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-011,Tail of pancreas,ROI3,32.6,22.6,11.7,11.0,12.9,129.5,48.6,15.5,25.5,17.5,198.5,81.2,16.0,26.4,17.8,253.3,99.3,23.8,15.1,25.9,252.9,98.7,17.5,30.5,20.5,27.1,65.8,394.0,217.2,122.0,42.0,15.5,25.4,37.3,15.0,328.2,,,,,,,,,,,,134.0,82.0,129.3,120.5,122.7,257.2,137.6,35.0,52.5,33.4,15.9,51.4,142.4,,,,
HPAP-012,Body of pancreas,ROI1,,,,,,,50.6,482.8,71.4,17.3,,827.0,30.2,49.6,17.7,,473.9,210.6,109.7,22.4,,552.6,252.4,107.1,21.7,,,,,,,,,,,,,,,,,,,,,,,,50.0,166.6,76.2,108.2,,464.3,225.0,94.7,24.2,105.0,,,,,,
