donor,region,roi,n_cells,unknown_frac,other_immune_frac,unresolved_frac
HPAP-034,Tail of pancreas,ROI4,1620,0.09320987654320988,0.20864197530864198,0.30185185185185187
HPAP-105,Body of pancreas,ROI1,2861,0.23628102062216008,0.06641034603285564,0.3026913666550157
HPAP-035,Head of pancreas,ROI2,4461,0.05133378166330419,0.2524097735933647,0.3037435552566689
HPAP-095,Body of pancreas,ROI4,4274,0.23256902199344875,0.07580720636406177,0.30837622835751055
HPAP-095,Head of pancreas,ROI2,4309,0.19122766303086564,0.11882107217451846,0.3100487352053841
HPAP-067,Body of pancreas,ROI1,2954,0.16486120514556535,0.14691943127962084,0.31178063642518616
HPAP-056,Tail of pancreas,ROI1,3316,0.0,0.31393244873341375,0.31393244873341375
HPAP-082,Body of pancreas,ROI1,4029,0.29312484487465873,0.022834450235790518,0.31595929511044923
HPAP-099,Tail of pancreas,ROI3,4117,0.0,0.3179499635657032,0.3179499635657032
HPAP-018,Tail of pancreas,ROI4,1820,0.2164835164835165,0.10274725274725274,0.3192307692307692
HPAP-012,Body of pancreas,ROI2,1235,0.0,0.31983805668016196,0.31983805668016196
HPAP-027,Head of pancreas,ROI3,1437,0.19624217118997914,0.12386917188587335,0.3201113430758525
HPAP-005,Body of pancreas,ROI2,2773,0.17562206996033178,0.14785430941218897,0.3234763793725207
HPAP-034,Tail of pancreas,ROI1,1272,0.18474842767295596,0.139937106918239,0.324685534591195
HPAP-047,Body of pancreas,ROI1,3161,0.0,0.3286934514394179,0.3286934514394179
HPAP-063,Head of pancreas,ROI1,3189,0.09689557855126998,0.23361555346503607,0.33051113201630605
HPAP-014,Body of pancreas,ROI3,452,0.0,0.33185840707964603,0.33185840707964603
HPAP-042,Tail of pancreas,ROI1,1619,0.09882643607164916,0.23409512044471897,0.3329215565163681
HPAP-095,Tail of pancreas,ROI1,3981,0.0,0.3333333333333333,0.3333333333333333
HPAP-035,Body of pancreas,ROI3,4037,0.1362397820163488,0.19767153827099332,0.3339113202873421
HPAP-040,Head of pancreas,ROI3,2744,0.18112244897959184,0.15379008746355685,0.33491253644314867
