donor,region,roi,panel,area_mm2,n_cells,density_Endothelial,density_Fibroblast,density_Macrophage,density_CD8 T,density_CD4 T,density_Treg,density_B cell,density_NK,density_Monocyte,density_DC,density_Myeloid (other),density_Parenchyma,density_ambiguous
HPAP-014,Head of pancreas,ROI2,CD11b,1.0,3193,224.0,729.0,39.0,37.0,5.0,0.0,7.0,6.0,28.0,4.0,11.0,2102.0,1.0
HPAP-014,Head of pancreas,ROI3,CD11b,1.0,5752,385.0,1509.0,44.0,45.0,17.0,15.0,1.0,3.0,32.0,0.0,5.0,3688.0,8.0
HPAP-014,Tail of pancreas,ROI1,CD11b,1.003002,6712,438.68307341361236,1478.5613588008798,359.9195215961683,122.63185915880527,23.928167640742494,5.9820419101856235,28.91320256589718,18.943132715587808,134.59594297917653,41.87429337129936,56.82939814676342,3974.0698423333156,6.97904889521656
HPAP-014,Tail of pancreas,ROI2,CD11b,1.003002,6551,459.62022009926204,1503.4865334266533,94.71566357793903,81.75457277253685,47.85633528148499,35.89225146111374,15.952111760494995,26.919188595835305,103.68872644321746,28.91320256589718,19.940139700618744,4063.8004709860998,48.853342266515924
HPAP-014,Tail of pancreas,ROI3,CD11b,1.001,3402,229.7702297702298,874.1258741258742,142.85714285714286,141.85814185814186,118.8811188811189,8.991008991008991,28.971028971028975,2.997002997002997,58.94105894105895,23.976023976023978,53.94605394605395,1646.3536463536466,66.93306693306694
HPAP-018,Body of pancreas,ROI1,CD11b,1.001,7559,339.6603396603397,595.4045954045955,37.96203796203797,53.94605394605395,7.992007992007993,0.0,7.992007992007993,5.994005994005994,10.98901098901099,2.997002997002997,1.9980019980019983,6477.522477522478,8.991008991008991
HPAP-018,Body of pancreas,ROI2,CD11b,1.002001,6320,181.63654527290893,851.29655559226,38.92211684419477,29.940089880149824,1.9960059920099882,7.984023968039953,6.986020972034958,3.9920119840199764,25.948077896129845,5.9880179760299646,8.982026964044946,5133.7274114496895,9.98002996004994
HPAP-018,Body of pancreas,ROI3,CD11b,1.0,4732,2328.0,257.0,22.0,19.0,3.0,6.0,1.0,1.0,0.0,6.0,5.0,2073.0,11.0
HPAP-018,Head of pancreas,ROI1,CD11b,1.001,7095,370.62937062937067,1167.832167832168,19.980019980019982,24.97502497502498,9.990009990009991,18.981018981018984,12.987012987012989,1.9980019980019983,22.97702297702298,3.9960039960039966,0.9990009990009991,5423.5764235764245,8.991008991008991
HPAP-018,Head of pancreas,ROI2,CD11b,1.001,8071,367.6323676323677,1770.2297702297703,75.92407592407594,70.92907092907093,10.98901098901099,38.961038961038966,32.96703296703297,9.990009990009991,41.95804195804196,16.983016983016984,13.986013986013987,5593.406593406594,18.981018981018984
