agent_type,agent_id,x,y,z,cell_state,additional_info
CANCER,165,24,25,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,166,25,23,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,167,24,22,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,168,24,22,32,PROGENITOR,divideCD=0;divideFlag=1
CANCER,169,20,22,32,PROGENITOR,divideCD=0;divideFlag=1
CANCER,170,21,24,18,PROGENITOR,divideCD=0;divideFlag=1
CANCER,171,21,21,18,PROGENITOR,divideCD=0;divideFlag=1
CANCER,172,24,24,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,173,25,23,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,174,22,22,26,STEM,divideCD=0;divideFlag=1
CANCER,175,24,23,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,176,23,25,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,177,25,24,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,178,23,21,37,PROGENITOR,divideCD=0;divideFlag=1
CANCER,179,25,25,20,PROGENITOR,divideCD=0;divideFlag=1
CANCER,180,26,27,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,181,25,26,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,182,6,30,31,STEM,divideCD=0;divideFlag=1
CANCER,183,12,20,24,STEM,divideCD=0;divideFlag=1
CANCER,184,26,26,27,STEM,divideCD=0;divideFlag=1
CANCER,185,24,24,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,186,24,25,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,187,25,25,31,PROGENITOR,divideCD=0;divideFlag=1
CANCER,188,19,27,19,PROGENITOR,divideCD=0;divideFlag=1
CANCER,189,26,26,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,190,23,26,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,191,24,27,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,192,26,26,25,STEM,divideCD=0;divideFlag=1
CANCER,193,24,28,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,194,24,25,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,195,24,26,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,196,26,25,35,PROGENITOR,divideCD=0;divideFlag=1
CANCER,197,25,24,18,PROGENITOR,divideCD=0;divideFlag=1
CANCER,198,22,31,20,PROGENITOR,divideCD=0;divideFlag=1
CANCER,199,24,27,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,200,24,27,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,201,23,27,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,202,22,31,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,203,25,25,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,204,24,27,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,205,22,28,32,PROGENITOR,divideCD=0;divideFlag=1
CANCER,206,28,31,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,207,24,31,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,208,23,31,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,209,26,28,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,210,25,29,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,211,23,28,30,PROGENITOR,divideCD=0;divideFlag=1
CANCER,212,23,26,30,PROGENITOR,divideCD=0;divideFlag=1
CANCER,213,24,31,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,214,13,32,20,PROGENITOR,divideCD=0;divideFlag=1
CANCER,215,26,29,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,216,20,37,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,217,22,34,31,PROGENITOR,divideCD=0;divideFlag=1
CANCER,218,25,18,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,219,25,23,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,220,25,20,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,221,25,17,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,222,22,15,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,223,25,21,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,224,21,21,31,PROGENITOR,divideCD=0;divideFlag=1
CANCER,225,21,16,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,226,25,23,19,PROGENITOR,divideCD=0;divideFlag=1
CANCER,227,25,20,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,228,25,21,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,229,25,22,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,230,26,24,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,231,27,19,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,232,26,23,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,233,28,20,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,234,23,22,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,235,24,21,18,PROGENITOR,divideCD=0;divideFlag=1
CANCER,236,26,20,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,237,23,23,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,238,26,21,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,239,25,24,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,240,28,23,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,241,25,21,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,242,27,24,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,243,24,19,31,PROGENITOR,divideCD=0;divideFlag=1
CANCER,244,22,22,16,PROGENITOR,divideCD=0;divideFlag=1
CANCER,245,26,25,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,246,24,22,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,247,26,24,27,STEM,divideCD=0;divideFlag=1
CANCER,248,28,21,24,STEM,divideCD=0;divideFlag=1
CANCER,249,24,25,26,STEM,divideCD=0;divideFlag=1
CANCER,250,24,24,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,251,22,24,31,PROGENITOR,divideCD=0;divideFlag=1
CANCER,252,23,25,30,PROGENITOR,divideCD=0;divideFlag=1
CANCER,253,25,26,18,PROGENITOR,divideCD=0;divideFlag=1
CANCER,254,24,27,20,PROGENITOR,divideCD=0;divideFlag=1
CANCER,255,25,25,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,256,25,25,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,257,26,27,25,STEM,divideCD=0;divideFlag=1
CANCER,258,27,25,25,STEM,divideCD=0;divideFlag=1
CANCER,259,28,24,28,STEM,divideCD=0;divideFlag=1
CANCER,260,25,25,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,261,26,27,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,262,25,25,30,PROGENITOR,divideCD=0;divideFlag=1
CANCER,263,21,32,35,PROGENITOR,divideCD=0;divideFlag=1
CANCER,264,26,24,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,265,26,27,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,266,25,26,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,267,26,26,22,STEM,divideCD=0;divideFlag=1
CANCER,268,27,27,25,STEM,divideCD=0;divideFlag=1
CANCER,269,24,26,24,STEM,divideCD=0;divideFlag=1
CANCER,270,26,25,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,271,27,28,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,272,26,25,30,PROGENITOR,divideCD=0;divideFlag=1
CANCER,273,24,36,19,PROGENITOR,divideCD=0;divideFlag=1
CANCER,274,27,25,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,275,25,28,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,276,27,27,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,277,25,27,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,278,25,27,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,279,27,29,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,280,31,34,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,281,26,26,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,282,27,29,18,PROGENITOR,divideCD=0;divideFlag=1
CANCER,283,25,28,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,284,25,30,20,PROGENITOR,divideCD=0;divideFlag=1
CANCER,285,24,29,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,286,26,31,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,287,28,28,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,288,23,30,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,289,26,32,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,290,27,31,34,PROGENITOR,divideCD=0;divideFlag=1
CANCER,291,24,28,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,292,19,36,18,PROGENITOR,divideCD=0;divideFlag=1
CANCER,293,26,30,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,294,29,37,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,295,26,37,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,296,25,37,31,PROGENITOR,divideCD=0;divideFlag=1
CANCER,297,24,32,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,298,24,33,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,299,27,16,20,PROGENITOR,divideCD=0;divideFlag=1
CANCER,300,25,17,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,301,28,17,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,302,25,21,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,303,27,18,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,304,26,13,18,PROGENITOR,divideCD=0;divideFlag=1
CANCER,305,27,22,20,PROGENITOR,divideCD=0;divideFlag=1
CANCER,306,27,19,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,307,28,20,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,308,26,23,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,309,29,21,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,310,30,21,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,311,27,21,16,PROGENITOR,divideCD=0;divideFlag=1
CANCER,312,30,23,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,313,26,19,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,314,26,22,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,315,29,23,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,316,27,22,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,317,27,22,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,318,25,22,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,319,28,23,31,PROGENITOR,divideCD=0;divideFlag=1
CANCER,320,22,26,14,PROGENITOR,divideCD=0;divideFlag=1
CANCER,321,26,23,20,PROGENITOR,divideCD=0;divideFlag=1
CANCER,322,26,23,22,PROGENITOR,divideCD=0;divideFlag=1
