name,median,units,distribution,dist_param1,dist_param2,lower_bound,upper_bound
PARAM_ECM_ORIENT_CROSSLINK_RESIST,2.0,,lognormal,0.693147,0.9,,
PARAM_DOMAIN_LOBULE_SPACING,70,voxels,lognormal,4.248495,0.7,,
PARAM_DOMAIN_SEPTUM_THICKNESS,4,voxels,lognormal,1.386294,0.7,,
PARAM_DOMAIN_TUMOR_RADIUS_FRAC,0.20,,uniform,0.1,0.3,0.1,0.3
PARAM_DOMAIN_ECM_SEPTUM_DENSITY,700.0,nmol/mL,lognormal,6.551080,0.7,,
PARAM_DOMAIN_ECM_SEPTUM_CROSSLINK,0.3,,lognormal,-1.203973,0.7,,
PARAM_DOMAIN_ECM_LOBULE_DENSITY,50.0,nmol/mL,lognormal,3.912023,0.7,,
PARAM_DOMAIN_ECM_TUMOR_DENSITY,100.0,nmol/mL,lognormal,4.605170,0.7,,
PARAM_DOMAIN_FIB_DENSITY,10000,cells/mm3,lognormal,9.210340,0.7,,
PARAM_DOMAIN_VAS_DENSITY,5000,cells/mm3,lognormal,8.517193,0.7,,
PARAM_DOMAIN_MAC_DENSITY,2846,cells/mm3,lognormal,7.953670,0.7,,
PARAM_DOMAIN_CD8_DENSITY,1958,cells/mm3,lognormal,7.579679,0.7,,
PARAM_DOMAIN_CD4_DENSITY,580,cells/mm3,lognormal,6.363028,0.7,,
PARAM_DOMAIN_DC_DENSITY,2568,cells/mm3,lognormal,7.850883,0.7,,
PARAM_DOMAIN_BCELL_DENSITY,800,cells/mm3,lognormal,6.684612,0.7,,
PARAM_DOMAIN_PDE_WARMUP_SUBSTEPS,20,,lognormal,2.995732,0.7,,
PARAM_PERSIST_TCELL_EFF,0.4,,lognormal,-0.916291,1.0,,
PARAM_PERSIST_TCELL_CYT,0.1,,lognormal,-2.302585,1.0,,
PARAM_PERSIST_TCELL_SUP,0.1,,lognormal,-2.302585,1.0,,
PARAM_PERSIST_MAC_M1,0.3,,lognormal,-1.203973,1.0,,
PARAM_PERSIST_MAC_M2,0.1,,lognormal,-2.302585,1.0,,
PARAM_PERSIST_FIB_MYCAF,0.2,,lognormal,-1.609438,1.0,,
PARAM_PERSIST_FIB_ICAF,0.1,,lognormal,-2.302585,1.0,,
PARAM_PERSIST_VAS_TIP,0.5,,lognormal,-0.693147,1.0,,
PARAM_PERSIST_TREG_REG,0.3,,lognormal,-1.203973,1.0,,
PARAM_PERSIST_TREG_TH,0.4,,lognormal,-0.916291,1.0,,
PARAM_PERSIST_TREG_TFH,0.4,,lognormal,-0.916291,1.0,,
PARAM_PERSIST_MDSC,0.3,,lognormal,-1.203973,1.0,,
PARAM_PERSIST_BCELL_NAIVE,0.3,,lognormal,-1.203973,1.0,,
PARAM_PERSIST_BCELL_ACT,0.2,,lognormal,-1.609438,1.0,,
PARAM_PERSIST_DC_IMMATURE,0.15,,lognormal,-1.897120,1.0,,
PARAM_PERSIST_DC_MATURE,0.4,,lognormal,-0.916291,1.0,,
PARAM_CHEMO_CI_TCELL_EFF,0.17,,lognormal,-1.771957,0.7,,
PARAM_CHEMO_CI_TCELL_CYT,0.129,,lognormal,-2.047943,0.7,,
PARAM_CHEMO_CI_TCELL_SUP,0.03,,lognormal,-3.506558,1.0,,
PARAM_CHEMO_CI_MAC_M1,0.106,,lognormal,-2.244316,0.7,,
PARAM_CHEMO_CI_MAC_M2,0.276,,lognormal,-1.287354,0.7,,
PARAM_CHEMO_CI_FIB_MYCAF,0.05,,lognormal,-2.995732,1.2,,
