area_mm2,density_cd4_t,density_cd8_t,density_b_cell,density_dc_candidate,density_macrophage,density_mdsc,density_fibroblast,density_endothelial,septa_frac_cd4_t,septa_dist_median_cd4_t,septa_frac_cd8_t,septa_dist_median_cd8_t,septa_frac_b_cell,septa_dist_median_b_cell,septa_frac_dc_candidate,septa_dist_median_dc_candidate,septa_frac_macrophage,septa_dist_median_macrophage,septa_frac_mdsc,septa_dist_median_mdsc,septa_frac_fibroblast,septa_dist_median_fibroblast,septa_frac_endothelial,septa_dist_median_endothelial,nn_cd4_t_to_cd4_t,nn_cd4_t_to_cd8_t,nn_cd4_t_to_b_cell,nn_cd4_t_to_dc_candidate,nn_cd4_t_to_macrophage,nn_cd4_t_to_fibroblast,nn_cd8_t_to_cd4_t,nn_cd8_t_to_cd8_t,nn_cd8_t_to_b_cell,nn_cd8_t_to_dc_candidate,nn_cd8_t_to_macrophage,nn_cd8_t_to_fibroblast,nn_b_cell_to_cd4_t,nn_b_cell_to_cd8_t,nn_b_cell_to_b_cell,nn_b_cell_to_dc_candidate,nn_b_cell_to_macrophage,nn_b_cell_to_fibroblast,nn_dc_candidate_to_cd4_t,nn_dc_candidate_to_cd8_t,nn_dc_candidate_to_b_cell,nn_dc_candidate_to_dc_candidate,nn_dc_candidate_to_macrophage,nn_dc_candidate_to_fibroblast,nn_macrophage_to_cd4_t,nn_macrophage_to_cd8_t,nn_macrophage_to_b_cell,nn_macrophage_to_dc_candidate,nn_macrophage_to_macrophage,nn_macrophage_to_fibroblast,nn_fibroblast_to_cd4_t,nn_fibroblast_to_cd8_t,nn_fibroblast_to_b_cell,nn_fibroblast_to_dc_candidate,nn_fibroblast_to_macrophage,nn_fibroblast_to_fibroblast,donor,region,roi,nn_cd4_t_to_mdsc,nn_cd8_t_to_mdsc,nn_b_cell_to_mdsc,nn_dc_candidate_to_mdsc,nn_macrophage_to_mdsc,nn_mdsc_to_cd4_t,nn_mdsc_to_cd8_t,nn_mdsc_to_b_cell,nn_mdsc_to_dc_candidate,nn_mdsc_to_macrophage,nn_mdsc_to_mdsc,nn_cd4_t_to_endothelial,nn_cd8_t_to_endothelial,nn_b_cell_to_endothelial,nn_dc_candidate_to_endothelial,nn_macrophage_to_endothelial,nn_endothelial_to_cd4_t,nn_endothelial_to_cd8_t,nn_endothelial_to_b_cell,nn_endothelial_to_dc_candidate,nn_endothelial_to_macrophage,nn_endothelial_to_endothelial,nn_mdsc_to_endothelial,nn_endothelial_to_mdsc,nn_mdsc_to_fibroblast,nn_fibroblast_to_mdsc,nn_fibroblast_to_endothelial,nn_endothelial_to_fibroblast
0.993387,10.066570392363785,31.206368216327736,255.69088796604015,124.82547286531094,102.67901800211061,2.013314078472757,0.0,0.0,0.5,37.36171871777346,0.22580645161290322,95.58765610684259,0.14173228346456693,122.9125775382227,0.07258064516129033,180.81666065402288,0.17647058823529413,141.00002871983978,0.5,90.24003890829992,,,,,130.9746958001215,74.0848839066652,52.79589246590329,35.083164985653426,57.91954232040996,,144.18319587273334,93.5041766317617,57.12988233078859,45.01458737516829,39.57020246757807,,162.42212611857963,87.30270986855815,13.17350588111727,60.179880471326804,47.59901873126799,,154.79777783681595,83.74704798860941,93.82128868933984,34.81104555894892,53.71805923263376,,146.45521517954444,79.9840176643807,61.21032607660655,46.554819151800906,32.051652591588514,,,,,,,,HPAP-006,Head of pancreas,ROI2,358.94605609104747,327.1475985217238,197.456886018021,324.17914768944945,294.4695767381961,149.68030637851123,25.82434475585066,60.08420131545357,46.82838859502336,37.40018076665019,229.5783229010327,,,,,,,,,,,,,,,,,
0.9751529,0.0,5.127400995247596,183.56095562986394,3.0764405971485576,6.152881194297115,0.0,0.0,105.62446050210048,,,0.4,161.7188919081503,0.0670391061452514,337.0726924566866,0.6666666666666666,8.06225774829855,0.0,618.1244096724877,,,,,0.04854368932038835,435.15744277215344,,,,,,,,203.80562912958152,28.17403457175899,98.61888622522761,170.28377272121344,,,158.5697245690779,20.013160961993044,290.19284303379777,196.15010619722622,,,84.34978141903682,20.53820847244172,55.14886776896798,262.64080536747525,,,59.36828235563796,20.550277496650626,258.3872982685175,94.01883931856104,,,,,,,,HPAP-011,Body of pancreas,ROI1,,,,,,,,,,,,,58.88744002058855,40.051811936881634,14.153934920109753,34.233986771637724,,223.49253075610156,36.06368637834897,317.5911280000165,250.83444523026654,34.417632630332356,,,,,,
0.88284427,0.0,0.0,28.317565022550802,7.928918206314224,7.928918206314224,0.0,0.0,131.39350170463572,,,,,0.04,246.34325645326686,0.0,221.41589825484527,0.0,180.36074961032958,,,,,0.017241379310344827,252.1838796738235,,,,,,,,,,,,,,,75.83066121122374,88.45060959757282,158.33962114791845,,,,45.400183389049275,130.21167055992836,172.98622460726375,,,,65.8411052688525,200.60629756569134,158.88142935887163,,,,,,,,HPAP-011,Body of pancreas,ROI2,,,,,,,,,,,,,,30.85670414614629,31.828428051167077,46.02288883335147,,,78.50293193809961,191.85431185502466,185.43315999801104,36.58423616592641,,,,,,
0.9194254,0.0,0.0,196.8620776681368,6.525814729330502,9.788722093995753,0.0,0.0,0.0,,,,,0.04419889502762431,170.4494059831245,0.0,242.09856394876383,0.5555555555555556,7.0710678118654755,,,,,,,,,,,,,,,,,,,,,14.422585730923805,105.73178497918016,115.63458462806008,,,,31.908012458073337,226.88813002884103,137.93067289715347,,,,18.666125364705465,108.95396828588356,94.7040914464907,,,,,,,,HPAP-011,Body of pancreas,ROI3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9856464,0.0,82.17957049063209,0.0,0.0,227.26202209755047,0.0,102.47082246362767,0.0,,,0.012345679012345678,256.632032295269,,,,,0.03125,214.39910005970077,,,0.07920792079207921,250.44959572736389,,,,,,,,,,27.1802896653324,,,17.51834922436978,34.85529372542088,,,,,,,,,,,,,,35.073200898656765,,,20.096524778185223,33.98903017491709,,46.431686728689705,,,23.526039685994252,35.863821457973266,HPAP-011,Head of pancreas,ROI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.98114073,0.0,16.307548413474183,4.076887103368546,0.0,213.01735115100655,0.0,0.0,61.15330655052819,,,0.0625,175.90718837446803,0.0,203.46393403445921,,,0.0430622009569378,302.39378300487596,,,,,0.05,176.2066938169492,,,,,,,,152.99972459618797,254.40106407801747,,31.50089089631772,,,102.47859546989926,329.18611148473985,,46.60238948208499,,,,,,,,,109.98534465016256,317.84664313509154,,25.837272474086365,,,,,,,,HPAP-011,Head of pancreas,ROI2,,,,,,,,,,,,,64.065346770108,83.40381040718917,,59.67929155458958,,99.11665694534315,272.10030784529056,,27.80297876249474,42.890340126905535,,,,,,
0.97293615,0.0,180.89573440436777,63.72463371062956,0.0,244.62036811499735,0.0,42.14048358283568,0.0,,,0.2159090909090909,59.13715077333406,0.3548387096774194,52.67749768431805,,,0.2815126050420168,69.27455022276186,,,0.34146341463414637,62.03224967708329,,,,,,,,,,29.866633791023276,53.97135650693486,,34.7045996019944,71.67345844053125,,33.7781944941807,52.2079812612495,,27.50161222062853,71.64974033889692,,,,,,,,36.74476402675826,56.3146194710115,,26.085813522301674,67.78657887129467,,30.363413991224476,49.72961419811879,,26.564848318936917,78.43765498735875,HPAP-011,Head of pancreas,ROI3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9709152,1.029956067969718,1.029956067969718,197.75156505018586,9.26960461172746,41.19824271878872,2.059912135939436,0.0,0.0,,,,,0.06770833333333333,222.97609689433781,0.0,188.22327167489146,0.1,252.38381505167985,0.0,222.06678655887205,,,,,,,,,,,,,,,,,,,21.03125837166111,135.5385411424008,73.84350631290745,,,,32.319399520527924,186.78262829221185,127.69843144766457,,,,39.93005406570918,156.20785189008495,36.54967710921346,,,,,,,,HPAP-011,Tail of pancreas,ROI1,,,289.7034425796568,298.0091700043966,364.2217294037348,,,16.714534407835366,123.56986939305308,94.11708437211908,108.02657832279887,,,,,,,,,,,,,,,,,
1.1884537,0.0,18.51144935258357,140.51872917642982,15.145731288477464,98.44725337510351,1.6828590320530517,0.0,0.0,,,0.09090909090909091,117.54287528220016,0.09580838323353294,112.43220179290273,0.05555555555555555,160.75193327869948,0.1452991452991453,131.47243057006287,0.0,299.62260461522504,,,,,,,,,,,,34.406480744140445,19.228246379288528,283.72987099408624,29.864086410740967,,,126.58270913142916,27.506119203129217,155.33690975749363,40.5195400790139,,,177.67115697296305,43.60108457811876,41.825595777945885,30.379555409214046,,,166.47648136433727,30.669616110966707,139.7955377422601,30.296868756174582,,,,,,,,HPAP-011,Tail of pancreas,ROI2,,288.7057362037217,273.7393098521137,386.29189740734114,336.2744491590438,,284.00295647707657,67.8140184682214,211.23107322685644,115.54750586458019,1022.985329470329,,,,,,,,,,,,,,,,,
1.1887643,2.5236288765491004,19.347821386876436,258.2513550335246,19.347821386876436,196.84305237082984,10.094515506196402,0.0,49.631367905465645,0.6666666666666666,12.529964086141668,0.17391304347826086,71.02112361825881,0.11726384364820847,124.48293055676348,0.17391304347826086,76.02631123499285,0.08974358974358974,138.90817751328052,0.5,17.58089399971929,,,0.1016949152542373,98.59513172565875,32.58613838054359,22.617670754409094,11.687830557475918,35.402351594603886,10.952009950305866,,129.47025794934086,48.6397602555476,15.480995145135157,63.596233081880854,25.532686535851546,,198.4539394674743,81.15735094488252,15.992578779352737,60.8625412854334,26.373033536389315,,154.56597337322427,63.596233081880854,13.87618355650886,50.09987292426384,27.634281067743125,,253.29467632050557,99.30731406006458,23.77643725301477,121.87475316349608,15.05061767143737,,,,,,,,HPAP-011,Tail of pancreas,ROI3,27.097682060959855,65.770354985054,393.9537875987876,187.2040134275797,217.17488957146867,121.95215019815512,41.9658527806026,15.485471696229283,26.014991376947165,25.396534530535163,37.28709456945063,134.04512114200313,81.99601671366368,129.262559174456,80.78129806973814,120.54532327567617,257.24788478513466,137.63129688990975,34.9771595502108,95.40026158742126,52.478708367353185,15.887815335103184,51.428232639937605,142.3607129331439,,,,
0.99319315,0.0,0.0,4.027414004763603,66.45233107859946,17.116509520245316,0.0,0.0,0.0,,,,,0.0,413.74338887889974,0.030303030303030304,327.6844587970429,0.11764705882352941,318.12104614438823,,,,,,,,,,,,,,,,,,,,,130.6175185938519,64.19847448777597,108.07502194761943,,,,371.9128892509595,56.49133537897833,103.80484980711168,,,,302.9770049566467,42.109633542834786,144.565793061506,,,,,,,,HPAP-012,Body of pancreas,ROI2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.994166,0.0,0.0,1.0058682185108305,3.017604655532492,21.123232588727443,0.0,552.221651962446,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.159021391103582,9.022496756936624,14.17813467778886,,,,194.19060126874757,78.42415576498993,21.64835547783056,,,,331.75020613552834,121.01222166117795,15.282911144307187,HPAP-012,Body of pancreas,ROI3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1448538,5.240843713848681,6.114317666156795,226.22975364780143,158.9722593200767,104.81687427697364,0.8734739523081136,727.6038022726586,0.0,0.0,304.7310165336328,0.0,446.4806826728341,0.0,400.9638387685353,0.02197802197802198,261.9581960664003,0.041666666666666664,283.58346108452383,,,0.06362545018007203,172.73389939441535,,,142.67659458862533,226.21450090097306,60.98106916831054,30.195106670686798,32.59564595957365,16.193804273692027,200.64539263462524,139.85212815486045,48.433168833620144,42.59871495330357,63.26656474475771,30.89848260528562,139.0077056723175,140.16995146535743,11.14355394489432,43.70392246789054,44.26647605014343,46.679351624456096,182.75372327655114,215.77826934521457,68.84968403311862,33.577373333951485,50.12321949984333,17.836943968927272,172.51564889352682,203.43421678490347,60.05407407760849,30.137652772923367,33.19073781381631,19.038283977441424,226.85751852229419,328.7235066552515,112.14756942727051,36.60124959114735,54.57277354167236,13.811101978801867,HPAP-012,Head of pancreas,ROI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9895329,0.0,321.36375038874246,109.14240579240311,0.0,42.44426891926788,0.0,394.12535425034457,0.0,,,0.27672955974842767,62.547854889396774,0.1111111111111111,109.98229724748654,,,0.5238095238095238,16.638197166386696,,,0.08205128205128205,262.6416460432589,,,,,,,,,,17.850554918187534,58.571711651689014,,62.43817384843529,28.588036509892618,,26.721130176532526,28.28368498327127,,94.30309314370103,22.2584015959892,,,,,,,,18.589043578170966,85.61850762646225,,42.08580165756847,34.87682899414515,,30.390795143379798,44.12017640426832,,108.34942719407965,15.500430983912718,HPAP-012,Head of pancreas,ROI2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9977345,4.009082628585691,13.029518542903496,60.136239428785366,351.7970006583944,111.25204294325293,0.0,564.278379973436,0.0,0.5,115.61183105299523,0.23076923076923078,133.01503674397117,0.0,271.9794057347125,0.07122507122507123,209.74746720759228,0.08108108108108109,180.15548839821673,,,0.04440497335701599,199.25109786397664,,,260.91626303989074,76.9198244437209,128.35115750682587,24.615855880560737,52.33046921660999,21.33614100152842,157.99536036473486,176.79067637079544,105.43310202893807,25.45196915539124,36.92061033945773,21.75128700420872,221.69922960633636,139.35535915331081,24.090238009542503,26.80083469219045,56.94306352565999,38.16222975228503,246.22348402378222,133.5988963055544,90.21670616287636,20.682641717290274,46.27232519429087,21.805484481243575,259.6517388960612,126.20434587931749,111.3512434299058,20.512564641486836,34.00513857067338,18.40210343353586,207.6320743095072,128.5609969348628,95.97594792245503,27.298245844294588,45.31799755411356,15.443457502432322,HPAP-012,Head of pancreas,ROI3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.99666435,2.006693637133533,12.040161822801197,6.020080911400599,225.75303417752247,71.23762411824042,0.0,0.0,0.0,0.0,185.3902443689701,0.0,168.74956747275377,0.0,275.2137475764474,0.022222222222222223,264.82069405543064,0.04225352112676056,230.16950275829333,,,,,,,603.2056034222494,72.67752048148473,250.49684230499585,22.16283850733733,28.612155928496065,,125.54287352131406,114.43597219273182,265.2852507430905,24.817276442511083,26.891334608052844,,225.11695681181698,127.1807720608503,136.56012265676952,28.873048237403427,27.629544975538224,,407.0258070860695,193.412810828749,231.98051412748424,23.124001425777895,47.59368753418366,,286.33691975304174,129.9275508395113,203.3770586638923,25.463145555217256,44.746904201652555,,,,,,,,HPAP-012,Tail of pancreas,ROI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.97417474,2.05301977368982,6.159059321069461,0.0,23.609727397432934,30.795296605347303,0.0,0.0,21.55670762374311,0.0,122.93018789975551,0.0,72.80244990969291,,,0.391304347826087,35.22782990761707,0.26666666666666666,65.45940283499972,,,,,0.047619047619047616,176.08236708995025,359.21821627807975,169.41232865664654,,143.23082086878034,174.5471915152022,,417.9755843674358,131.4680661218592,,87.67360004642359,72.28419619702058,,,,,,,,424.910197177252,168.34267170017333,,60.11768926917044,50.1074804774277,,466.227502145967,179.81220310863904,,69.98829574798752,39.09393049583011,,,,,,,,HPAP-014,Body of pancreas,ROI1,,,,,,,,,,,,124.95543773805277,239.78966044208238,,295.0019288022223,294.21444438379797,452.5399372665903,263.1992461489364,,103.69019662468916,35.27010040264904,18.120593170584726,,,,,,
